date,Rockbound 2050,Vanguard 2050,S&P 500
2025-03-30,10055.23458778815,9943.820469815471,9573.3136288071
2025-03-31,10055.23458778815,9943.820469815471,9573.3136288071
2025-04-01,10189.309251883697,9977.92925160216,9600.352211733323
2025-04-02,10214.374802236567,10030.096614249524,9661.107365996122
2025-04-03,9812.904699419052,9693.01790236502,9185.000930366641
2025-04-04,9281.689749951975,9191.412767464115,8647.283255655271
2025-04-05,9281.689749951975,9191.412767464115,8647.283255655271
2025-04-06,8782.320869836327,9081.05902547496,8631.880577590155
2025-04-07,8782.320869836327,9081.05902547496,8631.880577590155
2025-04-08,8567.396301300401,8974.718981800352,8496.681867923338
2025-04-09,9412.172172530614,9602.72882500512,9388.997777024306
2025-04-10,9180.977906593118,9388.041888498628,8977.58185171831
2025-04-11,9413.04168421477,9558.58732820946,9137.766121209808
2025-04-12,9413.04168421477,9558.58732820946,9137.766121209808
2025-04-13,9627.948715695149,9650.882489337939,9226.415416396492
2025-04-14,9627.948715695149,9650.882489337939,9226.415416396492
2025-04-15,9699.766220853646,9666.934221041342,9200.572718109863
2025-04-16,9666.031043565536,9542.536361894752,8996.063801025022
2025-04-17,9688.028220956056,9590.69002622757,9008.89822463286
2025-04-18,9688.028220956056,9590.69002622757,9008.89822463286
2025-04-19,9688.028220956056,9470.30510000683,8794.461884575107
2025-04-20,9596.414846716249,9470.30510000683,8794.461884575107
2025-04-21,9596.414846716249,9470.30510000683,8794.461884575107
2025-04-22,9877.176784470345,9646.870321800785,9023.275181379347
2025-04-23,9880.813480383858,9753.210365475394,9163.093588140699
2025-04-24,10189.908162722426,9911.717771797366,9355.968180828711
2025-04-25,10233.151686823101,9949.839486509905,9423.566745429978
2025-04-26,10233.151686823101,9949.839486509905,9423.566745429978
2025-04-27,10370.679723425952,9981.942184528014,9427.160721205886
2025-04-28,10370.679723425952,9981.942184528014,9427.160721205886
2025-04-29,10437.439215494913,10022.070748397824,9486.54508611528
2025-04-30,10467.48630921838,10036.115630943954,9490.311859319287
2025-05-01,10367.973103213993,10052.166597258663,9557.567989992916
2025-05-02,10515.016827722435,10200.642053960355,9699.442053962946
2025-05-03,10515.016827722435,10200.642053960355,9699.442053962946
2025-05-04,10563.071010861784,10168.539355942245,9643.822354971853
2025-05-05,10563.071010861784,10168.539355942245,9643.822354971853
2025-05-06,10627.874101641395,10126.404708303855,9563.215515691792
2025-05-07,10626.20624609151,10126.404708303855,9603.434117082052
2025-05-08,10502.18887943089,10164.526423016394,9670.348867470899
2025-05-09,10603.972726289654,10182.584238488374,9658.02756793309
2025-05-10,10603.972726289654,10182.584238488374,9658.02756793309
2025-05-11,10681.719591495093,10399.278024152141,9977.20022227649
2025-05-12,10681.719591495093,10399.278024152141,9977.20022227649
2025-05-13,10762.473653887739,10451.444621410808,10043.08872452528
2025-05-14,10638.551721436355,10443.418755559107,10055.924201775972
2025-05-15,10813.759345389846,10499.59905113232,10105.040817070527
2025-05-16,10878.748818364416,10549.759564622409,10169.04645953874
2025-05-17,10878.748818364416,10549.759564622409,10169.04645953874
2025-05-18,10970.202727750328,10573.836396788818,10180.169767151247
2025-05-19,10970.202727750328,10573.836396788818,10180.169767151247
2025-05-20,11004.078405402035,10559.791514242688,10145.942179030351
2025-05-21,10799.136907693854,10441.41267179053,9974.97598221113
2025-05-22,10808.626493935371,10439.405822633256,9978.911338271822
2025-05-23,10885.371503863078,10419.341923392698,9910.79859595767
2025-05-24,10885.371503863078,10419.341923392698,9910.79859595767
2025-05-25,10958.170676293505,10571.829547631545,10116.850046181158
2025-05-26,10958.170676293505,10571.829547631545,10116.850046181158
2025-05-27,11100.92944559107,10571.829547631545,10116.850046181158
2025-05-28,10930.400341001927,10503.611218669475,10058.319131983722
2025-05-29,11048.269338340557,10543.739782539287,10098.0235556611
2025-05-30,11057.99547091266,10541.73369877071,10086.728504263347
2025-05-31,11057.99547091266,10541.73369877071,10086.728504263347
2025-06-01,11235.186209577312,10599.920078112502,10143.547248822597
2025-06-02,11235.186209577312,10599.920078112502,10143.547248822597
2025-06-03,11240.544799642093,10619.98397735306,10201.392241521906
2025-06-04,11385.93371943268,10648.073742445318,10198.652770100809
2025-06-05,11284.677207755722,10623.99691027891,10149.364411021012
2025-06-06,11280.563340796027,10694.22132300956,10253.588654879486
2025-06-07,11280.563340796027,10694.22132300956,10253.588654879486
2025-06-08,11364.91229565583,10714.285987638812,10262.83015635427
2025-06-09,11364.91229565583,10714.285987638812,10262.83015635427
2025-06-10,11448.054864229638,10756.420635277202,10321.017582981218
2025-06-11,11490.56692997875,10746.388685656922,10291.581962561535
2025-06-12,11651.030580362947,10788.52333329531,10332.48332452136
2025-06-13,11414.312957606258,10666.131557917297,10216.96508290799
2025-06-14,11414.312957606258,10666.131557917297,10216.96508290799
2025-06-15,11509.6515287143,10744.381836499648,10314.171011714185
2025-06-16,11509.6515287143,10744.381836499648,10314.171011714185
2025-06-17,11328.159521298732,10652.086675371169,10226.034840597527
2025-06-18,11312.833766107751,10658.105692065597,10224.495468387442
2025-06-19,11193.235125686333,10615.971044427208,10200.481894095823
2025-06-20,11170.939206593826,10615.971044427208,10200.481894095823
2025-06-21,11170.939206593826,10615.971044427208,10200.481894095823
2025-06-22,11344.816461357017,10696.228172166831,10301.237545678046
2025-06-23,11344.816461357017,10696.228172166831,10301.237545678046
2025-06-24,11541.455590700123,10696.228172166831,10415.037295796106
2025-06-25,11521.863844788564,10810.594081693142,10420.873423565896
2025-06-26,11747.162601274698,10904.8953265902,10502.40430762915
2025-06-27,11709.431014515189,10951.043672543135,10554.58386270106
